Veranstalter,Thema,Ort,Datum,Uhrzeit der Versammlung,sheet_name
"Bürgerbegehren ""Gegen den Verkauf der KOWO""",Schulsanierung JA - Verkauf der KOWO-NEIN,Fischmarkt,2019-05-22 00:00:00,18.45 - 20.00 Uhr,2019
Auf die Plätze - Bündnis,Den rechten Konsens brechen - für ein Europa der Soldarität!,Aufzug Hanseplatz --> Domplatz,2019-05-25 00:00:00,10.00 - 16.00 Uhr,2019
Grüne Jugend,The seas are rising. So we are - die Klimakrise wartet nicht,Anger  vor Anger 1,2019-05-23 00:00:00,13:00 -16:00 Uhr,2019
EinzelpersonABGESAGT,SED-Diktatur und Unrecht,Thüringer Landtag,2019-05-29 00:00:00,09:00 - 10:00 Uhr,2019
Heinrich-Böll-Stiftung Thüringen e.V.,Progromartige Ausschreitungen in Erfurt 1975,Angerdreieck,2019-06-07 00:00:00,18:00 - 19:30 Uhr,2019
Heinrich-Böll-Stiftung Thüringen e.V.,Alltagsrassismus früher und heute,Angerdreieck,2019-06-11 00:00:00,18:00 - 19:30 Uhr,2019
Heinrich-Böll-Stiftung Thüringen e.V.,Die Situation von Vertragsarbeiter*innen in der DDR und heute,Angerdreieck,2019-06-18 00:00:00,18:00 - 19:30 Uhr,2019
Heinrich-Böll-Stiftung Thüringen e.V.,Antirassistische Mahnwache,Angerdreieck,2019-06-22 00:00:00,16:00 - 18:00 Uhr,2019
Einzelperson,Die Stadt sozial bewegen. Am Sonntag SPD wählen!,Anger,2019-05-24 00:00:00,10:00 - 15:00 Uhr,2019
Critical Mass Erfurt,Verkehrspolitische Radtour - Wir behindern nicht den Verkehr-wir sind der Verkehr,Willy-Brand-Platz (Start)->Bahnhofstr.->Augustmauer-> Mühlgasse->Borngasse->Faußtgäßchen->Schlösserstr.->Junkersand->Kürschnergasse->Wenigemarkt->Meienbergstr.->Krämpferstr.->Juri-Gagarin-Ring->Lutherstr.->Regierungsstr.->Holzheienstr.->Theaterplatz->Maximilian-Welsch-Str.->Bonemilchstr.->Benaryplatz->Alfred-Hess-Str.->Richard-Breslau-Str.->Hermann-Schmidt-Str.->Nerlystr.->Steigerstr.->Pförtchenstr.->Str. des Friedens->Brühlerwallstr.->Bonifaciusstr.->Walkmühlstr.->Dalbergsweg->Neuwerkstr.->Regierungsstr.->Lange Brücke->Große Arche->Marktstr.->Domplatz->Kettenstr.->Lange Brücke->Eichenstr.->Neuwerkstr.->Anger->Johannesstr.->Augustinerstr.->Am Hügel->Huttenstr.->Grünstr.->Pfeifersgasse->Schinkelstr.->Boyneburgufer->Talstr.->Auenstr.->Moritzstr.->Michaelisstr.->Benediktsplatz->Fischmarkt (Ende),2019-05-31 00:00:00,18:30 - 20:30 Uhr,2019
ADFC Kreisverband Erfurt,#MehrPlatzFürsRad am Weltfahrradtag,Fischmarkt (Start)--> Benediktsplatz--> Nichaelisstraße--> Moritzstraße --> Schlüterstraße--> Auenstraße--> Riethstraße--> Nordhäuser Str.--> Andreas-Gorden-Straße--> Mühlhäuser Str.--> Erhard-Etzlaub-Straße--> Nordhäuser Str.--> Baumerstr.--> An der Auenschanze --> Treppenstr.--> Nordhäuser Str.--> Moritzwallstr.--> Schlüterstraße--> Stauffenbergallee--> Fritz-Büchner-Str.--> Rosa-Luxemburg-Str.--> Bebelstr.--> Magdeburger Allee--> (Wede in Höhe Eislebener Str.) --> Magdeburger Allee Stadteinwärts--> Stauffenbergallee--> Fritz-Büchner-Str.--> Liebknechtstr.--> Leipziger Str.--> Rathenaustr.--> Iderhoffstr.--> Thälmannstr.--> Leipziger Platz--> Stauffenbergallee--> Schillerstr.--> Löberstr.--> Juri-Gagarin-Ring-->Karl-Marx-Platz--> Neuwerkstraße--> Anger--> Schlösserstraße--> Fischmarkt (Ende),2019-06-03 00:00:00,17:30 - 19:15 Uhr,2019
Die Partei,Für Europa reicht's,Anger vor Lutherdenkmal,2019-05-25 00:00:00,14:00 - 20:00 Uhr,2019
Fridays For Future Erfurt,Fridays for Future - Klimastreik,Angerdreieck,2019-06-07 00:00:00,12.00 - 14.00 Uhr,2019
"VOS-Landesgruppe Thüringen, Thüringer Landtag",Gedenkveranstaltung für die Opfer des 17. Juni 1953 mit Kranzniederlegung,Andreasstraße 37 in 99084 Erfurt,2019-06-17 00:00:00,14.00 - 15.00 Uhr,2019
PETA Deutschland e.V.,Hunde BBQ? Go vegan!,Neuwerkstraße 1,2019-06-11 00:00:00,12.00 - 13.30 Uhr,2019
Anonymous for the Voiceless,Abschaffung des Tierleids durch Veganismus,Angerdreieck,15..06.2019,15.00 - 18.00 Uhr,2019
DGB Thüringen,Aktion Lost in Work - Fotoausstellung sowie Diskussionsrunden,Angerdreieck,2019-09-28 00:00:00,07.00 - 20.00 Uhr,2019
ReiterInnen für den Frieden,Worte statt Waffen - Abrüsten statt Aufrüsten,Am Tannenwäldchen --> Anger 1 --> Petersberg --> Am Tannenwäldchen 26 (Lutherpark),2019-07-27 00:00:00,09.00 - 16.00 Uhr,2019
wohnopia e.V.,Bezahlbarer Wohnraum für Alle - ein Straßenfest,Talstraße 15 / 16,2019-06-16 00:00:00,12.00 - 19.00 Uhr,2019
Ver.di Thüringen,"Tarifverhandlungen des Einzel- und Versandhandels Sachsen, Sachsen-Anhalt, Thüringen",Aufzug: Anger 1 --> Schillerstraße,2019-06-14 00:00:00,11.00 - 13.00 Uhr,2019
Landesverband Thüringen des Verkehrsgewerbes (LTV) e.V.,Scheuerwehr-Tour: unter dem Motto ?Scheuerwehr protestieren die Kolleginnen und Kollegen seit Bekanntwerden gegen das Eckpunktepapier von Bundesverkehrsminister Scheuer,"Regierungsstraße 73, Hirschgarten ggü. Staatskanzlei",2019-06-20 00:00:00,09.00 - 12.00 Uhr,2019
Bürgerallianz Thüringen gegen überhöhte Kommunalabgaben e.V.,Mahnwache zwecks Abschaffung Straßenausbauträge,"Thüringer Landtag, Jürgen-Fuchs-Straße 1",2019-06-27 00:00:00,08.30 - 09.30 Uhr,2019
"Bund der Heimtvertriebenen e.V., Landesverband Thüringen",Gedenken an die Opfer von Flucht und Vertreibung,Hauptfriedhof Erfurt,2019-06-26 00:00:00,10.00 - 10.45 Uhr,2019
Ortsteilrat Bindersleben,Bombenabwurf 1944 - Gedenken,Friedhof Bindersleben,2019-07-20 00:00:00,10.00 - 10.20 Uhr,2019
Fridays For Future Erfurt,Fridays for Future - Klimastreik,"Angerdreieck
Aufzug: Angerdreieck  --> Bahnhofstraße--> Schillerstraße --> Friedrich-Schiller-Schule --> Puschkinstraße --> Lessingstraße --> Herderstraße --> Heinrich-Mann-Straße --> Heinrich-Mann-Gymnasium --> Arnstädter Straße --> Johann-Sebastian-Bach-Straße --> Jürgen Fuchs-Straße --> Thüringer Landtag",2019-06-21 00:00:00,12:00 - 16:00 Uhr,2019
Bund für Umwelt und Naturschutz Deutschland (BUND) Thüringen e.V.,Insektensterben; keine Pestizide in Schutzgebieten!,Angerdreieck,2019-06-19 00:00:00,16.00 - 18.00 Uhr,2019
Aufstehen Erfurt - Sammelbewegung,Aufstehen Buntwesten Thüringen ABGESAGT,vor Anger 1,2019-06-22 00:00:00,11.15 - 13.00 Uhr,2019
Freiheit und Demokratie e.V.,1000 und 1 Kerze für die Freiheit,Andreasstraße (vor Gedenkstätte),2019-10-03 00:00:00,17.00 - 20.00 Uhr,2019
VCD Erfurt,"Critical Mass: F""Fahr Rad - fürs Klima auf Tour - Friday for Future",Stadtgebiet Erfurt,2019-06-28 00:00:00,18.30 - 20.00 Uhr,2019
AfD Thüringen,Familienfest der AfD zur Landtagswahl,vor Anger 1,2019-10-12 00:00:00,12.00 - 18.00 Uhr,2019
Fridays For Future Erfurt,Fridays for Future - Klimastreik,vor Anger 1,2019-07-05 00:00:00,12.00 - 16.00 Uhr,2019
Fridays For Future Erfurt,Fridays for Future - Klimastreik,Hirschgarten --> Anger --> Fischmarkt --> Wenigemarkt --> Stauffenbergalleee --> Schillerstraße --> Arnstädter Straße --> Beethovenpark,2019-07-27 00:00:00,12.00 - 22.00 Uhr,2019
Fridays For Future Erfurt und Extinction Rebellion Erfurt,Ruft den Klimanotstand aus!,vor Landtag,2019-07-03 00:00:00,15.00 - 17.00 Uhr,2019
Drogenhilfe Knackpunkt SiT - Suchthilfe in Thrüingen GmbH,Versammlung anlässlich des Drogentotengedenktages,Willy-Brandt-Platz,2019-07-21 00:00:00,10.00 - 15.00 Uhr,2019
AfD Thüringen,Landtagswahl 2019 - Familienfest,Platz der Völkerfreundschaft,2019-09-21 00:00:00,12.00 - 18.00 Uhr,2019
Fridays For Future Erfurt,Fridays for Future - Klimastreik,"Angerdreieck
Aufzug: Angerdreieck --> Krämpferstraße --> Juri-Gagarin-Ring --> Johannesstraße --> Magdeburger Allee --> Ilversgehofener Platz",2019-07-19 00:00:00,12:00 - 16:00 Uhr,2019
Anonymous for the Voiceless,Abschaffung des Tierleids durch Veganismus,Angerdreieck,2019-07-20 00:00:00,15:00 - 18:00 Uhr,2019
European Initiative e.V.,Demonstration für christliche Werte in unserer Gesellschaft,Anger (bei Maus und Elefant),2019-07-19 00:00:00,15:00 - 19:00 Uhr,2019
European Initiative e.V.,Demonstration für christliche Werte in unserer Gesellschaft,Anger (bei Maus und Elefant),2019-07-20 00:00:00,13:00 - 19:00 Uhr,2019
European Initiative e.V.,Demonstration für christliche Werte in unserer Gesellschaft,Wenigemarkt,2019-07-21 00:00:00,14:00 - 17:00 Uhr,2019
Dyke*March Erfurt,Dyke*March Erfurt 2019,Aufzug Stadtgebiet Erfurt,2019-08-23 00:00:00,19.00 - 21.00 Uhr,2019
Frauenverband Courage,Bekanntmachung des Frauenpolitischen Ratschlags,Angerdreieck,2019-09-14 00:00:00,12.00 - 16.00 Uhr,2019
Extinction Rebellion Deutschland,Prinzipien von Extinction Rebellion und deren Forderungen an die Politik,Rathausbrücke,2019-07-18 00:00:00,17.30 - 18.00 Uhr,2019
Culture Goes Europe (CGE) - Soziokulturelle Initiative Erfurt e.V.,"im Rahmen der Europäischen Mobilitätswoche: ""Open University""",Anger,2019-09-21 00:00:00,14.00 - 17.00 Uhr,2019
DGB Stadtverband Erfurt,"Landtagswahl in Thüringen, Gespräch mit Direktkandidatinnen",Angerdreieck,2019-09-30 00:00:00,16.00 - 20.00 Uhr,2019
DGB Stadtverband Erfurt,"Landtagswahl in Thüringen, Gespräch mit Direktkandidatinnen",Moskauer Platz (Wochenmarkt),2019-09-23 00:00:00,12.00 . 16.00 Uhr,2019
DIE LINKE,Wahlkampfauftakt zur Landtagswahl,vor Anger 1,2019-09-06 00:00:00,08.00 - 13.00 Uhr,2019
Der III. Weg,Erfurt erwache - Gemeinsam gegen Homopropaganda! - Für die traditionelle Deutsche Familie!,Angerdreieck,2019-08-24 00:00:00,12.00 - 14.00 Uhr,2019
Critical Mass Erfurt,Forderung nach mehr Rücksicht für Radfahrer im Straßenverkehr und Ausbau der Radverkehrsanlagen,Erfurt - Stadtgebiet,2019-07-26 00:00:00,18.30 - 20.30 Uhr,2019
Fridays For Future Erfurt,Fridays for Future - Klimastreik,Stadtgebiet Erfurt,2019-08-02 00:00:00,12.00  - 15.00 Uhr,2019
Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz/ gegen Massentierhaltung,Anger 39 --> Anger 9,2019-09-28 00:00:00,14.00 - 18.00 Uhr,2019
Frauenverband Courage e.V.,Frauenpolitischer Ratschlag,Angerdreieck,2019-11-02 00:00:00,10.00 - 12.00 Uhr,2019
DBG-Bildungswerk Thüringen e.V.,Zusammengekarrt. Gegen die Arbeitsbedingungen in der Produktion und dem Transport von Lebensmitteln,vor Anger 1,2019-09-26 00:00:00,13.00 - 18.00 Uhr,2019
Erfurt zeigt Gesicht,Mahnwache für die Opfer der Gewalt durch die deutsche Willkommenskultur,Willy-Brandt-Platz,2019-08-05 00:00:00,20.30 - 21.30 Uhr,2019
Anonymous for the Voiceless,Abschaffung des Tierleids durch Veganismus,Angerdreieck,2019-08-15 00:00:00,17.00 - 20.00 Uhr,2019
Einzelperson,Gegen die Instrumentalisierung von Opfern von Straftaten durch Rechtspopulisten und Rechtsextreme,Willy-Brandt-Platz,2019-08-05 00:00:00,20.00 - 21.00 Uhr,2019
DGB Stadtverband Erfurt,"Landtagswahl in Thüringen, Gespräch mit Direktkandidatinnen","vor Lutherkirche, Magdeburger Allee 48",2019-09-17 00:00:00,16.00 - 18.00 Uhr,2019
PETA Deutschland e.V.,Demo & Petitionsübergabe für ein Verbot von Totschlagfallen,Werner-Seelenbinder-Straße 8,2019-10-10 00:00:00,12.00 - 14.00 Uhr,2019
MLPD ,Einladung zur Kundgebung der Internationalistischen Liste - MLPD,GVZ Erfurt Zalando Süd,2019-08-12 00:00:00,12.30 - 15.30 Uhr,2019
Fridays For Future Erfurt,Fridays for Future - Klimastreik,Angerdreieck + Aufzug Innenstadt,2019-08-16 00:00:00,12.00 - 15.00 Uhr,2019
Aufstehen Erfurt,Uns reicht`s - Trauer für Demokratie,Angerdreieck,2019-08-16 00:00:00,18.30 - 20.00 Uhr,2019
MLPD Thüringen,Protest gegen das verbot der Thälmann-Gedenkkundgebung des internationalistischem Bündnis am 17.08.2019 durch die Versammlungsbehörde Weimar,Angerdreieck,2019-08-14 00:00:00,18.00 - 19.30 Uhr,2019
Freie Wähler Erfurt e.V.,Samstags VOR lesen  friedlich gegen die Schließzeiten der Bibo,Domplatz (vor der Bibliothek),2019-08-24 00:00:00,10.00 - 15.00 Uhr,2019
DIE LINKE Thüringen ABGESAGT,Weltkindertag - mehr Zeit für Familie,Brühler Garten - Freiluftbühne,2019-09-20 00:00:00,10.00 - 20.00 Uhr,2019
Migranten Omid Verein MOVE e.V.,Solidaritätskundgebung mit den Opfern in Kabul,Angerdreieck,2019-08-20 00:00:00,19.00 - 21.00 Uhr,2019
VCD Erfurt,Critical Mass: Die offene Gesellschaft in Bewegung,Willy-Brandt-Platz --> Innenstand --> Fischmarkt,2019-08-30 00:00:00,18.30 - 20.00 Uhr,2019
EHC Erfurt Tec Art Black Dragon,"Erhalt, Sanierung, Erweiterung der kleinen Eishalle",Fischmarkt,2019-08-22 00:00:00,16.00 - 17.00 Uhr,2019
Fridays For Future Erfurt,Fridays for Future - Klimastreik,Angerdreieck --> Stadtgebiet --> Werner-Seelenbinder-Straße 6,2019-08-30 00:00:00,12.00 - 15.00 Uhr,2019
MLPD,Beteiligung an der Landtagswahl in Thüringen,Angerdreieck,2019-10-26 00:00:00,14.00 - 22.00 Uhr,2019
Freie Wähler Erfurt e.V.,Samstags VOR lesen  friedlich gegen die Schließzeiten der Bibo,Domplatz (vor der Bibliothek),2019-08-31 00:00:00,10.00 - 15.00 Uhr,2019
Alles muss man selber machen,"Alles muss man selber machen - für eine antirassistische, feministische & klimagerechte Gesellschaft",Aufzug: Willy-Brandt-Platz --> Ilversgehovener Platz,2019-10-12 00:00:00,12.00 - 20.00 Uhr,2019
TVVdN/BdA e.V.,Gedenken am Ehrenhain der antifaschistischen Widerstandskämpfer,Hauptfriedhof Erfurt,2019-09-08 00:00:00,10.00 - 10.45 Uhr,2019
SPD ,"Auftakt zur Landtagswahl 2019 im Wahlkreis 26, Eröffnung Wahlkampf und Büro",Bürgersteig vor der Rathenaustraße 64,2019-09-03 00:00:00,18.00 - 21.00 Uhr,2019
MLPD / Internationalistische Liste,Wahlkampf-Veranstaltung,Kundgebung Angerdreieck am 09.09.2019 und 28.09.2019,"09.09.2019
28.09.2019","16.00 - 17.30 Uhr
14.00 - 16.00  Uhr",2019
Arbeitsgemeinschaft bäuerliche Landwirtschaft Mitteldeutschland (AbL),Du hast die Wahl: Bauern und Bäuerinnen mobilisieren zur Landtagswahl,vor dem Thüringer Landtag,2019-09-25 00:00:00,13.30 - 14.30 Uhr,2019
DIE LINKE Erfurt,Landtagswahlkampf - Unterstützung von Petra Pau für Bodo Ramelow und die drei Direktkandidaten,Angerdreieck,2019-09-30 00:00:00,11.00 - 19.30 Uhr,2019
FDP Thüringen,Politische Kundgebung,Wenigemarkt,2019-10-20 00:00:00,09.00 - 14.00 Uhr,2019
Linksjugend solid Thüringen,Vorstellung der Jugendkampagne der Linksjugend Thüringer zur Landtagswahl,Stadtpark gepflasteter Platz oberhalb der Eingangstreppe,2019-09-07 00:00:00,16:00-22:00 Uhr,2019
FAU Jena,Mall of Shame- Pay your Workers,"Hugo-Preuß-Platz 1, (Haupteingang Bundesarbeitsgericht)",2019-10-16 00:00:00,08:00-10:00 Uhr,2019
Bundesweite Montagsdemobewegung ,"Gegen Hartz IV, für gleiche Löhne, 4 mobile Lautsprecheranlagen, Transparente, fahnen , Redner, Flugblätter und weiteres","Anger - Regierungsstraße, Lutherstraße, Juri-Gagarin-Ring- Bahnhofstraße, Anger ",2019-10-03 00:00:00,11:00 -15:00 Uhr,2019
Fridays for Future,Fridays for Future,"Angerdreieck, Bahnhofstraße, Willy-Brandt-OPlatz, Schillerstraße, Löberstraße, Regierungsstraße Meister-Eckhard-Straße, Predigerstraße, Fischmarkt Rathausbrücke Wenigemarkt ",2019-09-20 00:00:00,12:00-16:00 Uhr,2019
International Justice Mission Deutschland e.V.,Menschenhandel und moderne Sklaverei,Angerdreieck ist SONU- Vorgang an Sondernutzung 13.10.2019,2019-10-18 00:00:00,13:00-18:00 Uhr,2019
Aufstehen Erfurt,Uns reichts- Trauer um Demokratie,Angerdreieck,2019-09-16 00:00:00,18:30-20:00 Uhr,2019
AfD Thüringen,Landtagswahl 2019 - AfD Familienfest,Drosselberg,2019-10-05 00:00:00,12:00 -18.00 Uhr,2019
Grüne Jugend Erfurt ,Aktion für Seenotrettung,Angerdreieck,2019-09-11 00:00:00,17:00 -19:00 Uhr,2019
Die Linke,Landtagswahlkampf - ,"Platz der Völkerfreundschaft, Moskauer Platz, Bereich vor dem Einkaufszentrum Roter Berg","10.09.2019, 16.09.2019, 24.09.2019",13:00 -18:00 Uhr,2019
Criticall Mass Erfurt,"Radtour, da wo man nicht Fahrrad fahren kann, muss man laufen","Angerdreieck, Anger, Meienbergstraße, Wenigemarkt, Rathausbrücke, Fischhmarkt, Marktstraße, große Arche, Domplatz, Kettenstraße, Lange Brücke, Eichenstraße, Neuwerkstraße, Verbindung zum Hirschlachufer, Bahnhofstraße, Bahnhofsunterführung, Schillerstraße, Richard-Eiling-Straße Löberwallgraben, Bahnhofsunterführung, Bahnhofstraße, Verbindung Reglermauer, Trommsdorfstraße, Anger, Regierungsstraße, Meister Eckehart-Straße, Predigerstraße, Schuhgasse, Fischmarkt",2019-09-15 00:00:00,11-12:30 Uhr,2019
Seebrücke Erfurt,"Argumentation pro Thüringen als ""sicherer Hafen""","Thüringer Landtag, Jürgen-Fuchs-Straße 1",2019-09-13 00:00:00,08:00 - 10:00 Uhr,2019
Erfurter Rollrunde e.V.,Bikes vs. Cars -Bahn frei für alternative Fortbewegungsmittel und Rollsportarten ,"Willy-Brandt-Platz,  Bürgermeister-Wagner-Straße, Juri-Gagarin-Ring, Löberstraße, Kaffeetrichter, Schillerstraße, Staufenbergallee, Trommsdorfstraße, Juri-Gagarin-Ring, Am Hügel, Augustinerstraße, Michaelisstraße, Moritzstraße, Auenstraße, Riethstraße, Hinter der Radrennbahn, Radrennbahn Andreasried",2019-09-18 00:00:00,18-19:00 Uhr,2019
VCD Erfurt,"Kidical Mass, Fahrraddemonstration für die ganze Familie innerhalb der EMW 2019",Aufzug Wenigemarkt --> Innenstadt --> Theaterplatz,2019-09-20 00:00:00,17.00 - 17.00 Uhr,2019
Einzelperson,Wir sind alle Deutschland - Liebe für Alle - Hass für keinen,Platz der Völkerfreundschaft,2019-09-21 00:00:00,10.00 - 17.00 Uhr,2019
SPD Erfurt,Zur Landtagswahl Wolfgang Tiefensee und die SPD wählen!,vor Anger 1,2019-09-21 00:00:00,12.00 - 15.00 Uhr,2019
Critical Mass Erfurt,"Verkehrspolitische Radtour- Wir behindern nicht den Verkehr, wir sind der Verkehr",Willy-Brandt-Platz --> Schillerstraße --> Weimarische Str. --> Azmansdorfer Weg --> Leinefelder Weg --> Wagenfeldstraße --> Benita-Otte-Straße --> Grete-Reichardt-Straße --> Gerhardt-Marcks-Straße --> Gunta-Stözl-Straße --> Oskar-Schlemmer-Straße --> Feiningerstraße --> Walter-Gropius-Straße --> Leipziger Straße --> Liebknechtstraße --> Eugen-Richter-Straße --> Paul-Schäfer-Straße --> Hugo-John-Straße --> Stotternheimer Straße --> Am Roten Berg --> Mittelhäuser Straße --> Magdeburger Allee --> Johannesstraße --> Juri-Gagarin-Ring --> Bahnhofstraße --> Anger --> Johannesstraße --> Futterstraße --> Rathausbrücke --> Fischmarkt,2019-09-27 00:00:00,18:30 - 20:30 Uhr,2019
BÜNDNIS 90/DIE GRÜNEN Thüringen,Mobilität,Willy-Brandt-Platz,2019-09-24 00:00:00,13:30 - 15:30 Uhr,2019
Einzelperson,"""Erfurt erwache - Gemeinsam gegen Kapitalismus und Kommunismus - Für unser Deutsches Vaterland""",Stieler Straße 1,2019-09-21 00:00:00,14:00 - 21:00 Uhr,2019
Einzelperson,Liebe für Alle - Hass für Keinen,Angerdreieck,2019-10-12 00:00:00,12.00 - 18.00 Uhr,2019
Einzelperson,Die Stadt sozial bewegen- ins Gespräch kommen mit der Spd,Angerdreieck,2019-09-26 00:00:00,12.30 - 17.30 Uhr,2019
GRÜNE JUGEND Thüringen,Klasse statt Masse! Für eine ökologische Landwirtschaft,Angerdreieck,2019-10-02 00:00:00,14:00 - 16:00 Uhr,2019
MLPD Sömmerda,Wahlwerbung für die MLPD / Internationalistische Liste und für den Direktkandidaten Tassilo Timm,Aufzug Erfurt-Nord,2019-10-04 00:00:00,15.00 - 17.30 Uhr,2019
Brennessel e.V. - Zentrum gegen Gewalt an Frauen,Internationaler Tag gegen Gewalt an Frauen - Gedenken der Opfer,Fischmarkt - neben der Sparkasse,2019-11-25 00:00:00,16.30 - 18.30 Uhr,2019
BÜNDNIS 90/DIE GRÜNEN Kreisverband Erfurt,Alles muss Frau selber machen,Fischmarkt,2019-10-18 00:00:00,16:00 - 18:00 Uhr,2019
Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2019-10-19 00:00:00,15.00 - 18.00 Uhr,2019
Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2019-11-02 00:00:00,15.00 - 18.00 Uhr,2019
MLPD Sömmerda,Wahlwerbung für die MLPD / Internationalistische Liste ,In der Hochstedter Ecke 4,2019-10-16 00:00:00,13.00 - 15.00 Uhr,2019
MLPD Sömmerda,Wahlwerbung für die MLPD / Internationalistische Liste und für den Direktkandidaten Ibrahim Kücük,Moskauer Platz --> Rigaer Straße --> Helsinkier Straße --> Moskauer Straße --> Talliner Straße --> Budapester Straße,2019-10-11 00:00:00,15.00 - 18.00 Uhr,2019
Bürgerbewegung PAX Europa e.V.,Aufklärung über den Islam und die Ahmadiyya-Gemeinde,Anger (vor Lutherdenkmal),2019-11-15 00:00:00,13.00 - 19.00 Uhr,2019
"Direktversichreungsgeschädigte e.V.  Regionalgruppe Thüringen
",Sofortiger Stopp der Mehrfachverbeitragung durch das GMG vom 14.11.2003,Aufzug: Domplatz --> Marktstraße --> Fischmarkt --> Schlösserstraße --> Anger --> Thüringer Staatskanzlei -->,2019-10-26 00:00:00,11.00 - 13.00 Uhr,2019
MLPD,Hände weg von Rojava! Türkei raus aus Syrien,Anger Richtung Willy-Brandt-Platz entlang der Straßenbahn,2019-10-09 00:00:00,18:00 Uhr,2019
Vereinte Dienstleistungsgewerkschaft ver.di Fachbereich TK/IT,Tarifverhandlungen IBM,Parsevalstraße 8,2019-10-17 00:00:00,12.00 - 13.00 Uhr,2019
BÜNDNIS 90/DIE GRÜNEN,Artensterber im Zuge des Klimawandels,vor Anger 1,2019-10-11 00:00:00,14.00 - 18.00 Uhr,2019
Bündnis Aufstehen,Uns reicht`s - Klimaschutz jetzt! C02 Steuer - nein,Angerdreieck,2019-10-16 00:00:00,17.00 - 18.00 Uhr,2019
Einzelperson,Stoppt den völkerrechtswidrigen Angriff der Türkei auf Rojava,Hirschgarten --> Willy-Brandt-Platz,2019-10-12 00:00:00,13.30 - 16.00 Uhr,2019
CDU Erfurt,Landtagswahl 2019,Angerdreieck,2019-10-17 00:00:00,12.00 - 14.00 Uhr,2019
Internationalistische Liste ,Stoppt den völkerrechtswidrigen Angriff der Türkei auf Syrien - Hände weg von Rojava,Angerdreieck --> Willy-Brandt-Platz,2019-10-19 00:00:00,13.30 - 16.00 Uhr,2019
Marinekameradschaft Erfurt 1886/1992 e.V.,Ehrung aller Seeopfer zum Volkstrauertag 2019,Marineehrenmal auf dem Erfurter Hauptfriedhof,2019-11-16 00:00:00,10.00 - 11.00 Uhr,2019
Thüringer Bauernverband e.V.,Land schafft Verbindung - wir rufen zu Tisch,AHG Gelände --> Blumenstraße --> Moritzwallstraße --> Schlüterstraße -->  Johannesstraße -->  Karl-Marx-Platz --> Dalbergsweg --> Walkmühlstraße --> Bonifaciusstraße --> Benaryplatz --> Heinrichstraße -->  AS Blumenstraße --> AHG Gelände,2019-10-22 00:00:00,11:55 - 13:15 Uhr,2019
MLPD / Internationalistische Liste,Wahlkampfveranstaltung,Aufzug: Grubenstraße --> Magdeburger Allee,2019-10-18 00:00:00,15.00 - 16.30 Uhr,2019
MLPD / Internationalistische Liste,Wahlkampfveranstaltung,Aufzug: Blücherstraße ---> Clausewitzstraße ,2019-10-25 00:00:00,15.00 - 16.30 Uhr,2019
"Bündnis ""Auf die Plätze""",Aufstehen gegen die AfD,Aufzug: Willy-Brandt-Platz --> Domplatz,2019-10-26 00:00:00,15.00 - 19.00 Uhr,2019
